rank,cluster_label,product,customer_count,ticket_count_total,open_count,open_ratio,rank_score,top_terms,sample_requests,request_ids,cluster_seed
1,IDT,IDT,55,116,116,1.0,1.0,"filing, status, quarterly, filers, group","Filing status of Quarterly filers | Group ID locking | Ozonetel Call: 919845097174 | UCID: 24068387531106302 | Date: 14/01/2026, 4:15 pm | CallType: Inbound","1059861, 1071346, 1074215, 1059868, 1047229, 1066276, 1047207, 1060012, 1046630, 1072757",IDT|||
2,GL Stream,GL Stream,5,9,9,1.0,0.2681,"recon, tax, individual, values, single",In GL Recon - Individual Tax values to be shown | Single recon for Revenue GL and Output tax GL | GL Type Column in GL Stream,"1055521, 1079764, 1037231, 1054750, 1079760, 1073235, 1079928, 1079759, 1079789",GL Stream|||
3,DT,DT,3,3,3,1.0,0.2336,"26as, recon, manual, linking, feature","26AS recon manual linking feature | Even though the challans have been synced as you can see in the below screenshot, tool is showing is not popping up the proper message. | EDIT option TDS UI","1056355, 1078567, 1078577",DT|||
4,Notice Tracker,Notice Tracker,1,1,1,1.0,0.2112,"feature, notice, management",Feature Request for Notice Management,1050509,Notice Tracker|||
